id,age,province,marital_status,employment_income,num_t4_slips,self_employed,business_structure,industry,business_revenue,years_in_business,gst_registered,investment_income,num_t5_slips,pension_income,num_t4a_slips,rrsp_withdrawal,student_status,tuition_paid,has_children,num_dependents,residency_status,arrival_year,ei_received,social_assistance,disability_benefit,rent_paid,property_tax,major_life_event,income_type_count,hours_worked_per_week,owns_home,moved_province_this_year,has_capital_gains,num_business_employees,recommended_form
35,37,NS,married,78477,3,yes,sole_prop,real_estate,37254,4,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,2342,moved_province,2,26,yes,yes,no,37,T2125
36,52,ON,common_law,12219,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,married,1,39,no,no,yes,0,T1
37,43,ON,common_law,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2024,no,no,no,0,0,none,0,0,no,no,yes,0,RC151
38,68,SK,common_law,96646,2,no,none,,0,0,no,0,0,5788,0,0,no,0,no,0,resident,,no,no,no,21334,3243,none,2,19,no,no,no,0,T4RIF
39,55,NS,married,64435,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,yes,no,no,0,0,married,1,19,yes,no,no,0,T1
40,40,SK,married,73319,1,yes,sole_prop,consulting,193014,8,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,38,yes,no,no,10,T2125
41,40,MB,common_law,132717,3,yes,sole_prop,carpentry,237448,6,no,0,0,0,0,0,no,0,yes,1,resident,,no,no,no,20920,0,new_child,2,16,yes,no,no,16,T2125
42,60,AB,single,67526,3,no,none,,0,0,no,0,0,28734,2,0,no,0,yes,1,resident,,no,no,no,0,0,none,2,49,no,no,no,0,T4RIF
43,30,AB,single,93501,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,13,yes,no,no,0,T1
44,20,BC,common_law,120993,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,46,yes,no,no,0,T1
45,25,SK,married,113453,2,no,none,,0,0,no,5005,2,0,0,0,yes,5425,yes,1,resident,,no,no,no,0,0,new_child,2,14,yes,no,no,0,T2202
46,19,NS,single,14596,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,married,1,26,no,no,no,0,T1
47,26,MB,single,23752,1,no,none,,0,0,no,10268,0,0,0,0,no,0,no,0,resident,,no,no,no,16875,0,none,2,30,yes,no,no,0,T1
48,57,MB,married,74182,1,no,none,,0,0,no,0,0,0,0,0,no,0,yes,2,resident,,no,no,no,0,4850,none,1,45,no,no,no,0,RC66
49,71,NS,common_law,120900,3,no,corporation,retail,658418,3,no,0,0,24058,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,34,yes,no,no,36,T2
50,61,,single,0,0,no,none,,0,0,no,4090,0,0,0,0,no,0,no,0,non_resident,,no,no,no,0,0,married,1,0,no,no,no,0,NR4
51,42,QC,single,0,0,no,none,,0,0,no,0,0,0,0,4873,no,0,no,0,newcomer,2022,no,no,no,12820,0,none,1,0,yes,no,no,0,RC151
52,56,AB,married,87312,1,no,none,,0,0,no,13409,2,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,27,no,no,no,0,T1
53,83,BC,common_law,29430,0,no,none,,0,0,no,0,0,39974,1,0,no,0,no,0,resident,,no,no,no,0,0,married,2,34,yes,no,no,0,T4RIF
54,82,AB,single,24951,1,no,none,,0,0,no,0,0,25280,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,15,no,no,no,0,T4RIF
55,28,BC,single,0,0,no,none,,0,0,no,7827,0,0,0,0,no,0,no,0,newcomer,2023,yes,no,yes,0,0,married,1,0,no,no,no,0,RC151
56,26,BC,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2024,no,no,no,0,0,none,0,0,no,no,no,0,RC151
57,46,ON,common_law,0,0,no,corporation,marketing,848952,5,no,7291,2,0,0,3972,no,0,yes,2,newcomer,2023,no,no,no,0,2324,none,2,0,no,no,no,39,RC151
58,57,MB,married,86231,2,no,none,,0,0,no,1704,0,0,0,0,no,0,no,0,resident,,no,no,no,20106,0,none,2,40,no,no,yes,0,T1
59,70,NS,single,126209,1,no,none,,0,0,no,13836,1,9882,0,0,no,0,yes,2,resident,,no,no,no,18749,6352,job_change,3,37,no,no,no,0,T4RIF
60,39,QC,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2022,yes,no,no,0,0,none,0,0,no,no,no,0,RC151
61,24,ON,single,93106,2,no,none,,0,0,no,3356,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,20,yes,no,no,0,T1
62,73,MB,common_law,48901,2,no,none,,0,0,no,0,0,19982,1,0,no,0,yes,1,resident,,no,no,no,0,0,none,2,38,no,no,no,0,T4RIF
63,63,NS,married,82879,3,yes,sole_prop,delivery,189697,3,yes,0,0,11536,1,0,no,0,no,0,resident,,no,no,no,0,0,married,3,20,no,no,yes,20,T2125
64,35,BC,single,106661,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,6429,moved_province,1,29,yes,yes,no,0,T1
65,19,ON,single,112755,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,15,no,no,no,0,T1
66,58,BC,married,144701,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,3134,moved_province,1,34,no,yes,no,0,T1
67,72,MB,single,110198,0,no,none,,0,0,no,0,0,39825,2,0,no,0,no,0,resident,,no,no,no,0,6326,none,2,21,yes,no,no,0,T4RIF
68,75,QC,married,25963,1,no,corporation,consulting,362962,9,no,0,0,22015,1,0,no,0,no,0,resident,,no,no,no,19596,0,married,2,42,yes,no,no,47,T2
69,59,SK,single,26916,0,yes,sole_prop,carpentry,171205,6,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,moved_province,2,10,no,yes,yes,44,T2125
70,40,AB,common_law,33397,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,13499,3734,moved_province,1,46,no,yes,no,0,T1
71,73,NS,married,34707,1,no,none,,0,0,no,281,0,15360,2,0,no,0,yes,1,resident,,no,no,no,23124,0,moved_province,3,43,yes,yes,no,0,T4RIF
72,56,NS,single,9110,3,no,none,,0,0,no,12595,1,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,43,no,no,no,0,T1
73,60,BC,single,24089,3,no,none,,0,0,no,4440,1,30659,0,0,no,0,no,0,resident,,no,no,no,8033,0,none,3,18,no,no,no,0,T4RIF
74,30,MB,single,114044,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,4726,moved_province,1,16,no,yes,no,0,T1
75,50,ON,single,79973,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,14,yes,no,no,0,T1
76,61,AB,married,78714,2,yes,sole_prop,landscaping,69106,7,no,6542,0,8906,2,0,no,0,no,0,resident,,no,no,no,7610,0,none,4,17,yes,no,no,17,T2125
77,19,QC,married,86365,2,yes,sole_prop,delivery,184785,7,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,51,yes,no,yes,21,T2125
78,38,ON,married,0,0,no,none,,0,0,no,5752,0,0,0,0,no,0,no,0,newcomer,2022,no,no,no,0,0,moved_province,1,0,yes,yes,no,0,RC151
79,72,NS,single,17633,0,no,none,,0,0,no,10658,2,23711,2,0,no,0,no,0,resident,,no,no,no,15543,4602,moved_province,3,47,no,yes,no,0,T4RIF
80,53,ON,married,16456,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,5735,0,none,1,12,yes,no,yes,0,T1
81,61,ON,common_law,9686,1,no,none,,0,0,no,14788,0,10526,2,0,no,0,no,0,resident,,yes,no,no,14123,0,none,3,39,yes,no,no,0,T4RIF
82,22,QC,single,98452,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,yes,22792,3496,none,1,32,no,no,no,0,T1
83,23,AB,married,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2023,no,no,no,0,0,married,0,0,yes,no,yes,0,RC151
84,38,AB,married,130513,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,50,no,no,no,0,T1
85,25,QC,single,40108,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,yes,yes,0,0,none,1,14,no,no,no,0,T1
86,19,BC,single,119863,2,no,none,,0,0,no,5448,1,0,0,0,yes,9591,no,0,resident,,yes,no,no,0,0,none,2,45,no,no,no,0,T2202
87,80,NS,single,96774,2,no,none,,0,0,no,0,0,10837,0,4481,no,0,yes,1,resident,,yes,no,no,9542,0,none,3,35,yes,no,no,0,T4RIF
88,62,ON,single,141706,2,no,none,,0,0,no,10749,1,37487,1,0,no,0,no,0,resident,,no,no,no,0,0,married,3,18,no,no,no,0,T4RIF
89,65,BC,common_law,28671,3,no,none,,0,0,no,0,0,28602,1,0,no,0,no,0,resident,,yes,no,no,0,0,moved_province,2,22,yes,yes,no,0,T4RIF
90,18,AB,single,83588,3,no,none,,0,0,no,9866,2,0,0,0,no,0,no,0,resident,,no,no,no,0,2573,none,2,57,no,no,no,0,T1
91,42,,married,0,0,no,corporation,retail,117661,4,no,0,0,0,0,0,no,0,yes,2,non_resident,,no,no,no,4780,0,moved_province,0,0,no,yes,no,10,NR4
92,27,BC,single,70119,2,no,none,,0,0,no,12275,1,0,0,0,no,0,no,0,resident,,yes,no,no,20422,0,new_child,2,27,no,no,no,0,T1
93,25,SK,married,145643,3,no,none,,0,0,no,0,0,0,0,0,yes,4537,yes,1,resident,,no,no,no,0,0,moved_province,1,52,no,yes,no,0,T2202
94,20,AB,single,29725,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,14047,0,none,1,19,no,no,no,0,T1
95,44,MB,single,108777,1,no,none,,0,0,no,13944,1,0,0,0,no,0,no,0,resident,,no,no,no,0,2404,moved_province,2,19,no,yes,no,0,T1
96,54,SK,married,80073,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,10643,0,moved_province,1,43,no,yes,no,0,T1
97,77,ON,married,55506,1,no,none,,0,0,no,0,0,13428,2,0,no,0,no,0,resident,,no,no,no,4830,0,none,2,56,no,no,no,0,T4RIF
98,62,SK,married,30447,2,yes,sole_prop,photography,166326,14,no,0,0,3471,0,0,no,0,no,0,resident,,no,yes,yes,0,0,none,3,54,no,no,yes,34,T2125
99,63,MB,married,22436,3,no,none,,0,0,no,0,0,26201,1,0,no,0,no,0,resident,,no,no,no,18139,2619,moved_province,2,45,yes,yes,no,0,T4RIF
100,47,NS,single,19675,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,yes,no,yes,22681,0,none,1,59,yes,no,no,0,T1
101,32,AB,common_law,65428,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,14123,0,none,1,59,no,no,no,0,T1
102,50,MB,single,18474,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,4097,0,none,1,48,no,no,yes,0,T1
103,57,AB,single,67263,2,no,none,,0,0,no,12819,1,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,50,no,no,no,0,T1
104,80,SK,single,91179,0,no,none,,0,0,no,0,0,26390,0,0,no,0,yes,1,resident,,no,no,no,4475,0,none,2,17,no,no,no,0,T4RIF
105,65,BC,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2024,no,no,no,0,1612,moved_province,0,0,no,yes,no,0,RC151
106,36,QC,married,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,yes,2,newcomer,2022,no,no,no,0,2560,none,0,0,yes,no,no,0,RC151
107,43,MB,common_law,97756,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,35,yes,no,yes,0,T1
108,79,AB,single,144302,1,no,none,,0,0,no,0,0,16021,0,0,no,0,no,0,resident,,no,no,no,0,0,moved_province,2,37,no,yes,yes,0,T4RIF
109,37,NS,single,87960,2,no,none,,0,0,no,11892,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,new_child,2,36,no,no,yes,0,T1
110,63,QC,single,15037,2,no,none,,0,0,no,0,0,8472,1,0,no,0,no,0,resident,,no,no,no,0,0,none,2,16,no,no,no,0,T4RIF
111,36,SK,single,0,0,no,none,,0,0,no,10704,1,0,0,6816,no,0,no,0,newcomer,2022,no,no,no,0,0,none,2,0,no,no,no,0,RC151
112,58,,married,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,non_resident,,no,no,no,0,0,none,0,0,no,no,no,0,NR4
113,78,AB,married,49879,3,no,none,,0,0,no,0,0,26955,1,0,no,0,no,0,resident,,no,no,no,0,0,none,2,38,no,no,no,0,T4RIF
114,45,QC,single,11093,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,yes,no,no,0,6586,none,1,10,no,no,no,0,T1
115,57,MB,single,137868,0,yes,sole_prop,consulting,63557,8,yes,4697,2,0,0,0,no,0,no,0,resident,,no,no,no,17860,0,married,3,30,yes,no,no,40,T2125
116,56,AB,single,83276,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,married,1,17,no,no,yes,0,T1
117,47,NS,single,67411,1,no,none,,0,0,no,0,0,0,0,0,no,0,yes,1,resident,,no,no,no,23086,0,none,1,38,no,no,no,0,RC66
118,27,AB,common_law,105848,2,no,none,,0,0,no,11777,0,0,0,0,no,0,yes,1,resident,,no,no,no,5998,2236,married,2,40,no,no,no,0,RC66
119,55,SK,common_law,121251,2,yes,sole_prop,carpentry,172860,6,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,19007,0,moved_province,2,45,yes,yes,no,33,T2125
120,73,NS,single,91703,0,no,none,,0,0,no,7611,1,2011,2,0,no,0,yes,2,resident,,no,no,no,0,0,none,3,47,no,no,no,0,T4RIF
121,67,AB,single,7597,1,no,none,,0,0,no,0,0,18693,2,0,no,0,no,0,resident,,no,no,no,4785,0,job_change,2,22,no,no,yes,0,T4RIF
122,34,SK,single,134308,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,15181,0,none,1,20,no,no,no,0,T1
123,80,AB,single,26762,3,no,none,,0,0,no,0,0,34919,1,0,no,0,no,0,resident,,no,no,yes,0,0,none,2,36,no,no,no,0,T4RIF
124,62,SK,single,26086,3,yes,sole_prop,marketing,51099,9,no,0,0,32272,2,0,no,0,no,0,resident,,no,no,no,11269,0,none,3,32,yes,no,no,49,T2125
125,68,AB,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2024,no,no,no,0,0,none,0,0,no,no,no,0,RC151
126,30,,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,yes,1,non_resident,,no,no,no,10337,0,moved_province,0,0,no,yes,no,0,NR4
127,52,,married,0,0,no,none,,0,0,no,10886,2,0,0,0,no,0,no,0,non_resident,,no,no,no,0,0,married,1,0,no,no,no,0,NR4
128,40,SK,single,122115,1,yes,sole_prop,real_estate,24810,8,yes,0,0,0,0,0,no,0,yes,1,resident,,no,no,no,16449,0,moved_province,2,11,yes,yes,no,46,T2125
129,48,NS,single,148694,1,no,none,,0,0,no,7398,0,0,0,0,no,0,no,0,resident,,no,yes,no,0,0,none,2,32,no,no,no,0,T1
130,71,BC,single,104859,1,no,none,,0,0,no,0,0,18691,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,58,yes,no,yes,0,T4RIF
131,43,SK,married,27990,3,no,corporation,software,100811,9,yes,0,0,0,0,0,no,0,yes,1,resident,,no,no,no,0,0,new_child,1,57,no,no,no,16,T2
132,75,MB,single,92122,0,no,corporation,landscaping,367860,5,no,3607,2,28099,2,0,no,0,no,0,resident,,no,no,no,19206,0,none,3,56,yes,no,no,34,T2
133,30,MB,single,81423,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,53,yes,no,no,0,T1
134,71,QC,single,26672,1,no,none,,0,0,no,11849,1,28172,0,0,no,0,no,0,resident,,no,no,yes,0,0,new_child,3,33,no,no,no,0,T4RIF
135,77,ON,single,19611,3,no,none,,0,0,no,0,0,3866,1,5818,no,0,no,0,resident,,no,no,no,12224,0,none,3,21,yes,no,no,0,T4RIF
136,24,AB,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2023,no,no,no,0,0,none,0,0,yes,no,no,0,RC151
137,21,,common_law,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,non_resident,,yes,no,no,14601,0,married,0,0,yes,no,no,0,NR4
138,70,QC,single,74218,0,no,none,,0,0,no,9915,0,18990,2,0,no,0,yes,1,resident,,no,no,no,5696,0,none,3,24,yes,no,no,0,T4RIF
139,63,SK,common_law,39121,1,no,none,,0,0,no,5085,1,1116,0,6474,no,0,no,0,resident,,no,no,no,23127,0,job_change,4,21,yes,no,no,0,T4RIF
140,36,SK,married,128389,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,39,no,no,no,0,T1
141,76,,married,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,non_resident,,no,no,no,22601,0,married,0,0,no,no,yes,0,NR4
142,44,AB,common_law,66732,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,13821,0,job_change,1,36,yes,no,no,0,T1
143,62,QC,married,66641,3,no,none,,0,0,no,0,0,30099,2,0,no,0,yes,1,resident,,no,no,no,0,0,none,2,20,no,no,no,0,T4RIF
144,43,MB,single,42998,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,20998,4565,none,1,13,yes,no,no,0,T1
145,18,AB,married,15523,1,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,yes,no,no,8276,0,none,1,15,yes,no,no,0,T1
146,24,MB,single,38402,3,yes,sole_prop,retail,213859,12,yes,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,57,no,no,no,38,T2125
147,33,MB,single,18375,0,no,none,,0,0,no,0,0,0,0,12541,no,0,no,0,resident,,no,yes,no,0,0,moved_province,2,30,no,yes,no,0,T1
148,80,QC,common_law,95102,3,no,none,,0,0,no,7365,0,25582,2,0,no,0,no,0,resident,,no,yes,no,8357,0,none,3,26,no,no,no,0,T4RIF
149,64,ON,single,75225,2,no,none,,0,0,no,0,0,4946,2,0,no,0,yes,2,resident,,no,no,no,0,0,moved_province,2,42,no,yes,yes,0,T4RIF
150,82,SK,single,113903,3,no,none,,0,0,no,1481,0,3731,2,0,no,0,no,0,resident,,no,no,no,20311,0,new_child,3,28,no,no,no,0,T4RIF
151,29,AB,single,147595,0,no,none,,0,0,no,0,0,0,0,0,yes,4104,no,0,resident,,no,no,no,22990,0,job_change,1,29,no,no,no,0,T2202
152,31,SK,married,22931,0,no,none,,0,0,no,0,0,0,0,5788,no,0,no,0,resident,,no,no,no,0,0,none,2,58,yes,no,no,0,T1
153,20,ON,married,103937,3,no,none,,0,0,no,11558,2,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,43,no,no,no,0,T1
154,44,ON,married,54330,3,yes,sole_prop,retail,79816,3,yes,4757,2,0,0,0,no,0,yes,2,resident,,no,no,no,0,0,job_change,3,18,no,no,no,35,T2125
155,63,SK,common_law,109200,1,yes,sole_prop,photography,83513,3,no,13720,2,29315,0,0,no,0,no,0,resident,,no,no,no,0,0,none,4,48,yes,no,no,31,T2125
156,69,NS,single,21869,0,yes,sole_prop,construction,117935,11,no,0,0,17568,2,0,no,0,no,0,resident,,no,no,no,0,0,married,3,12,no,no,no,26,T2125
157,25,BC,single,8024,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,moved_province,1,46,no,yes,no,0,T1
158,80,AB,married,88835,1,no,none,,0,0,no,0,0,8003,2,0,no,0,no,0,resident,,yes,no,no,21028,0,job_change,2,59,no,no,no,0,T4RIF
159,52,ON,single,77243,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,51,yes,no,no,0,T1
160,78,AB,married,56358,1,no,none,,0,0,no,0,0,38987,2,0,no,0,no,0,resident,,yes,no,no,0,0,none,2,57,yes,no,yes,0,T4RIF
161,83,QC,single,64925,0,no,none,,0,0,no,0,0,21113,1,0,no,0,no,0,resident,,no,no,no,7630,0,none,2,24,no,no,no,0,T4RIF
162,26,SK,common_law,100546,1,no,none,,0,0,no,13665,2,0,0,0,no,0,yes,1,resident,,no,no,no,23071,0,none,2,22,yes,no,no,0,RC66
163,24,NS,single,36413,0,no,none,,0,0,no,0,0,0,0,0,yes,14691,no,0,resident,,no,no,no,0,0,new_child,1,50,no,no,no,0,T2202
164,46,BC,single,130830,2,yes,sole_prop,carpentry,47215,2,no,11999,1,0,0,0,no,0,yes,2,resident,,no,no,no,19169,0,job_change,3,29,no,no,no,28,T2125
165,84,SK,married,45095,2,no,none,,0,0,no,0,0,2890,1,0,no,0,no,0,resident,,no,no,no,4670,0,married,2,24,yes,no,no,0,T4RIF
166,75,MB,single,11577,3,yes,sole_prop,software,125018,12,no,9480,2,34693,0,0,no,0,no,0,resident,,no,no,no,0,0,married,4,21,no,no,no,15,T2125
167,25,ON,single,33722,1,no,none,,0,0,no,0,0,0,0,0,yes,3561,yes,1,resident,,no,no,no,14744,0,job_change,1,39,yes,no,no,0,T2202
168,45,SK,single,117603,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,19899,0,none,1,31,yes,no,no,0,T1
