id,age,province,marital_status,residency_status,arrival_year,employment_income,num_t4_slips,work_from_home,hours_worked_per_week,self_employed,business_structure,industry,business_revenue,years_in_business,gst_registered,num_business_employees,investment_income,num_t5_slips,has_capital_gains,foreign_assets,trust_income,rental_income,pension_income,num_t4a_slips,rrsp_withdrawal,student_status,tuition_paid,has_children,num_dependents,ei_received,social_assistance,disability_benefit,owns_home,rent_paid,property_tax,property_sold,major_life_event,moved_province_this_year,income_type_count,tfsa_excess,recommended_forms,num_forms_required
40,55,QC,single,resident,,129038,1,yes,50,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,2814,no,moved_province,yes,1,no,"T2200,T1,TP64.3",3
41,77,QC,common_law,resident,,0,0,no,0,yes,corporation,consulting,347882,5,yes,2,0,0,no,0,0,0,46244,1,24256,no,0,yes,1,no,no,no,no,25891,0,no,new_child,no,2,no,"T4RSP,RC66,T2,GST34,T2125,T4RIF,T1213,T1032,T2200,T1",10
42,42,SK,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,9600,0,no,moved_province,yes,0,no,"T1,RC151,T1135",3
43,76,AB,single,resident,,0,0,no,0,yes,sole_prop,consulting,132793,5,yes,0,13895,1,no,0,0,0,30806,1,31838,no,0,no,0,no,no,no,no,15692,0,no,none,no,3,no,"T4RSP,GST34,T5,T2125,T4RIF,T1213,T2200,T1",8
44,64,SK,single,resident,,38565,1,yes,50,no,none,,0,0,no,0,10593,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,25694,0,no,moved_province,yes,2,no,"T2200,T1,T5",3
45,25,NB,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,3943,yes,2,no,no,no,no,15106,0,no,moved_province,yes,0,no,"RC66,T1,RC62,T2202,SCH11",5
46,19,MB,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,4409,no,0,no,no,no,no,17382,0,no,none,no,0,no,"T1,T1135,RC151,T2202,SCH11",5
47,22,PE,single,resident,,120307,3,no,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,15145,no,0,yes,no,no,no,14428,0,no,none,no,1,no,"SCH11,T2202,T1",3
48,21,BC,single,resident,,61268,2,no,50,yes,sole_prop,photography,3968,12,no,0,441,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,14646,0,no,moved_province,yes,3,no,"T1,T5,T2125",3
49,63,SK,married,resident,,11555,1,yes,35,no,none,,0,0,no,0,0,0,no,0,0,0,12711,2,0,no,0,yes,1,no,no,no,yes,0,8122,no,new_child,no,2,no,"RC66,T2200,T1,T4RIF",4
50,34,NB,single,resident,,45186,1,yes,40,no,corporation,delivery,33166,12,yes,25,1441,4,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,28993,0,no,none,no,3,no,"T2,GST34,T5,T2200,T1",5
51,43,NL,married,resident,,0,0,no,0,no,none,,0,0,no,0,24570,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,27776,0,no,moved_province,yes,1,no,"T1,T5",2
52,77,AB,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,yes,no,yes,0,11996,no,retired,no,0,no,T1,1
53,56,ON,single,resident,,12984,1,yes,40,no,none,,0,0,no,0,0,0,no,0,44460,0,0,0,0,no,0,no,0,no,no,yes,yes,0,10173,yes,none,no,2,no,"ON479,T2091,T3,T3-SCH9,T2200,T1",6
54,76,,married,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,2,no,no,no,no,0,0,no,job_change,no,0,no,NR4,1
55,63,BC,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,61417,1,0,no,0,no,0,no,no,no,yes,0,3913,no,none,no,1,no,"T1,T4RIF",2
56,79,,common_law,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,moved_province,yes,0,no,NR4,1
57,31,PE,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,23602,0,no,retired,no,0,no,"T1,RC151,T1135",3
58,59,NB,divorced,resident,,81121,1,yes,45,no,none,,0,0,no,0,10403,2,yes,0,0,0,0,0,0,no,0,no,0,no,no,no,no,7312,0,no,job_change,no,2,no,"SCH3,T2200,T1,T5",4
59,76,PE,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,26670,0,no,married,no,0,no,"T1,RC151,T1135",3
60,77,NL,single,resident,,0,0,no,0,yes,corporation,software,68099,8,yes,10,0,0,no,218335,0,0,44832,1,0,no,0,yes,2,no,no,yes,yes,0,3435,no,retired,no,2,no,"RC66,T2,T1135,GST34,T2125,RC62,T4RIF,T1",8
61,81,SK,married,resident,,0,0,no,0,yes,sole_prop,construction,56416,1,yes,0,12301,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,7658,no,retired,no,2,no,"GST34,T1,T5,T2125",4
62,38,MB,married,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,1,no,no,no,no,13424,0,no,none,no,0,no,"RC66,T1,RC151,T1135",4
63,55,AB,single,resident,,26385,2,no,35,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,yes,no,no,6526,0,no,none,no,1,no,T1,1
64,26,PE,single,resident,,49268,1,no,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,14920,0,no,job_change,no,1,no,T1,1
65,68,ON,single,resident,,0,0,no,0,yes,sole_prop,delivery,19322,8,no,0,24916,1,yes,0,47219,0,62326,1,0,no,0,no,0,no,no,no,yes,0,8090,no,job_change,no,4,no,"ON479,T5,T2125,T3,T3-SCH9,T4RIF,T1,SCH3",8
66,49,NB,divorced,resident,,156755,1,no,20,yes,corporation,retail,749542,4,yes,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,17894,0,no,none,no,2,no,"T2,GST34,T2125,T1213,T2200,T1",6
67,39,NB,divorced,resident,,79561,1,yes,40,no,none,,0,0,no,0,5944,2,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,12563,0,no,none,no,2,no,"T2200,T1,T5",3
68,51,NS,single,resident,,42229,1,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,3525,no,none,no,1,no,"T2200,T1",2
69,19,ON,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,15588,no,0,no,no,no,no,6629,0,no,none,no,0,no,"SCH11,T2202,T1,ON479",4
70,27,PE,single,resident,,79530,2,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,23774,0,no,job_change,no,1,no,"T2200,T1",2
71,19,MB,divorced,resident,,170102,1,yes,50,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,yes,no,18504,0,no,moved_province,yes,1,no,"T2200,T1",2
72,60,SK,single,resident,,32556,1,no,20,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,yes,yes,0,9705,no,moved_province,yes,1,no,T1,1
73,63,ON,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,19380,0,no,moved_province,yes,0,no,"T1,ON479,RC151,T1135",4
74,79,BC,married,resident,,0,0,no,0,no,none,,0,0,no,0,20114,2,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,11013,no,none,no,1,no,"T1,T5",2
75,32,PE,married,resident,,96546,1,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,yes,yes,0,2011,no,none,no,1,no,"T2200,T1",2
76,60,SK,married,resident,,24596,1,yes,60,no,none,,0,0,no,0,0,0,no,471828,0,0,56413,1,0,no,0,yes,1,no,no,no,no,15873,0,no,none,no,2,no,"RC66,T1135,T4RIF,T2200,T1",5
77,24,NL,married,resident,,18743,1,yes,45,no,none,,0,0,no,0,1945,1,no,0,0,0,0,0,18673,yes,9284,no,0,no,no,no,no,25481,0,no,none,no,2,no,"T4RSP,T5,SCH11,T2202,T2200,T1",6
78,59,ON,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,29058,0,no,job_change,no,0,no,"T1,ON479,RC151,T1135",4
79,56,BC,married,resident,,127556,1,no,60,no,none,,0,0,no,0,1487,1,no,0,0,19695,0,0,0,no,0,yes,1,no,no,no,yes,0,8780,no,married,no,3,no,"RC66,T776,T1,T5",4
80,36,SK,married,resident,,54253,1,no,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,3735,no,none,no,1,no,T1,1
81,19,,married,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,married,no,0,no,NR4,1
82,47,SK,married,resident,,0,0,no,0,yes,corporation,carpentry,198035,1,yes,2,14211,2,no,0,0,0,0,0,0,no,0,yes,1,no,no,no,no,6148,0,no,none,no,2,no,"RC66,T2,GST34,T5,T2125,T1213,T1",7
83,49,SK,single,resident,,147235,1,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,6437,no,none,no,1,no,"T2200,T1",2
84,55,AB,married,resident,,73861,1,yes,40,no,none,,0,0,no,0,7873,4,no,0,0,28609,0,0,0,no,0,no,0,no,no,no,yes,0,4530,no,none,no,3,no,"T2200,T776,T1,T5",4
85,42,QC,single,resident,,78213,1,yes,35,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,7448,no,none,no,1,no,"T2200,T1,TP64.3",3
86,21,NB,common_law,resident,,172851,1,no,60,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,15956,0,no,none,no,1,no,T1,1
87,79,SK,married,resident,,0,0,no,0,no,none,,0,0,no,0,15328,4,no,0,0,0,14795,1,0,no,0,yes,1,no,no,no,no,13394,0,no,none,no,2,no,"RC66,T5,T4RIF,T1032,T1",5
88,55,NL,common_law,resident,,0,0,no,0,no,none,,0,0,no,0,6672,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,26310,0,no,none,no,1,no,"T1,T5",2
89,49,,single,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,1,no,no,no,no,0,0,no,married,no,0,no,NR4,1
90,18,NB,single,resident,,147603,1,yes,20,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,14754,no,0,no,no,no,no,16759,0,no,none,no,1,no,"T2202,T2200,T1,SCH11",4
91,25,PE,divorced,resident,,97661,1,yes,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,8978,no,0,no,no,no,no,20686,0,no,none,no,1,no,"T2202,T2200,T1,SCH11",4
92,27,NB,married,resident,,70119,1,no,50,no,none,,0,0,no,0,5944,2,no,0,0,0,0,0,33564,yes,12759,yes,3,no,no,no,no,13165,0,no,none,no,2,no,"T4RSP,RC66,T5,RC62,SCH11,T2202,T1",7
93,24,SK,married,resident,,23387,1,yes,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,7724,0,no,married,no,1,no,"T2200,T1",2
94,40,NS,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,1,no,no,no,no,12445,0,no,moved_province,yes,0,no,"RC66,T1",2
95,58,PE,married,resident,,19033,2,no,40,yes,corporation,software,11217,1,no,2,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,20537,0,no,moved_province,yes,2,no,"T1,T2,T2125",3
96,37,NS,single,resident,,147159,1,yes,50,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,16154,no,0,no,0,yes,no,no,no,11093,0,no,none,no,1,no,"T4RSP,T2200,T1",3
97,62,NS,married,resident,,99134,1,no,20,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,39501,no,0,no,0,no,no,no,yes,0,10691,no,none,no,1,yes,"T4RSP,T1,RC383",3
98,68,,single,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,job_change,no,0,no,NR4,1
99,81,ON,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,13493,13105,17531,1,0,no,0,no,0,no,no,no,yes,0,11435,no,none,no,3,no,"T776,ON479,T3,T3-SCH9,T4RIF,T1",6
100,27,SK,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,13017,no,0,no,0,no,no,no,no,20289,0,no,married,no,0,no,"T4RSP,T1",2
101,32,MB,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,11432,0,no,none,no,0,no,"T1,RC151,T1135",3
102,38,AB,married,resident,,26928,1,no,40,no,none,,0,0,no,0,0,0,no,0,0,15345,0,0,0,no,0,no,0,no,no,no,yes,0,4090,no,married,no,2,no,"T776,T1",2
103,82,MB,divorced,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,24487,0,14666,1,39622,no,0,no,0,no,no,no,no,19171,0,no,none,no,2,no,"T4RSP,T3,T3-SCH9,T4RIF,T1",5
104,31,PE,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,28354,0,0,0,no,0,no,0,no,no,no,yes,0,8852,no,none,no,1,no,"T776,T1",2
105,41,PE,married,resident,,6710,1,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,3,no,no,no,yes,0,2612,no,new_child,no,1,no,"RC66,T2200,T1,RC62",4
106,36,NS,divorced,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,25988,0,no,married,no,0,no,"T1,RC151,T1135",3
107,51,SK,divorced,resident,,20095,1,no,40,no,none,,0,0,no,0,23672,4,yes,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,11346,no,none,no,2,no,"SCH3,T1,T5",3
108,79,AB,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,50718,1,32516,no,0,no,0,no,no,no,yes,0,8344,no,retired,no,1,no,"T4RSP,T1,T4RIF",3
109,80,NL,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,26058,0,no,none,no,0,no,T1,1
110,31,NB,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,28010,0,no,none,no,0,no,"T1,RC151,T1135",3
111,42,NL,divorced,resident,,15282,2,no,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,2285,yes,moved_province,yes,1,no,"T1,T2091",2
112,70,PE,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,35292,0,0,0,0,no,0,no,0,no,no,no,no,19615,0,no,job_change,no,1,no,"T3,T3-SCH9,T1",3
113,50,PE,common_law,resident,,9168,1,no,45,yes,corporation,marketing,18779,2,no,2,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,2771,no,none,no,2,no,"T1,T2,T2125",3
114,51,PE,married,resident,,40197,2,yes,50,yes,sole_prop,real_estate,21695,20,no,0,8833,2,yes,0,0,0,0,0,22709,no,0,yes,3,no,no,no,yes,0,2703,no,none,no,3,no,"T4RSP,RC66,T5,T2125,RC62,T2200,T1,SCH3",8
115,58,MB,single,resident,,68648,1,no,45,yes,sole_prop,legal,15821,2,no,0,12095,3,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,5741,no,none,no,3,no,"T1,T5,T2125",3
116,83,ON,single,resident,,0,0,no,0,yes,sole_prop,retail,28388,2,no,0,4368,2,no,0,0,0,22497,1,45486,no,0,no,0,no,no,no,yes,0,8031,no,new_child,no,3,no,"T4RSP,ON479,T5,T2125,T4RIF,T1",6
117,29,ON,single,resident,,169316,1,no,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,10020,0,no,job_change,no,1,no,"T1,ON479",2
118,49,PE,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,16233,0,no,none,no,0,no,"T1,RC151,T1135",3
119,50,BC,single,resident,,68803,1,no,20,no,none,,0,0,no,0,18326,1,yes,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,7744,no,none,no,2,no,"SCH3,T1,T5",3
120,62,SK,divorced,resident,,157489,1,yes,35,no,none,,0,0,no,0,8815,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,5236,no,none,no,2,no,"T2200,T1,T5",3
121,68,BC,single,resident,,340,1,yes,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,12905,0,no,none,no,1,no,"T2200,T1",2
122,22,QC,common_law,resident,,132212,1,yes,60,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,4207,no,0,no,no,no,no,6882,0,no,none,no,1,no,"SCH11,T2202,TP64.3,T2200,T1",5
123,72,SK,married,resident,,0,0,no,0,no,none,,0,0,no,0,4036,3,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,14016,0,no,moved_province,yes,1,no,"T1,T5",2
124,36,AB,single,resident,,24045,1,no,40,no,none,,0,0,no,0,0,0,no,0,0,44674,0,0,0,no,0,no,0,no,no,no,no,29854,0,no,retired,no,2,no,"T776,T1",2
125,47,ON,single,resident,,120356,1,no,20,no,none,,0,0,no,0,0,0,no,224790,0,0,0,0,0,no,0,yes,1,no,no,no,yes,0,2187,no,married,no,1,no,"RC66,T1,ON479,T1135",4
126,33,ON,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,54092,0,0,0,no,0,no,0,no,no,no,yes,0,5701,no,none,no,1,no,"T776,T1,ON479",3
127,47,,married,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,2,no,no,no,no,0,0,no,none,no,0,no,NR4,1
128,72,NL,married,resident,,0,0,no,0,yes,corporation,healthcare,357476,3,yes,2,0,0,no,187450,0,0,38278,1,0,no,0,no,0,no,no,no,yes,0,11456,no,none,no,2,no,"T2,T1135,GST34,T2125,T4RIF,T1213,T1032,T1",8
